,,,Orphanhood Status(Below 18 Years),,Disability (2 years and above),,Disability (2-17 Years),,
Region,District,Sub-county,Orphan,NonOrphan,Has a disability,Has no disability,Has a disability,Has no disability,
Western,Masindi,Central Division,1622,17069,3313,32111,776,15394,
Western,Masindi,Budongo,1916,26325,7422,40394,1867,22512,
Western,Masindi,Bwijanga,1985,25681,6337,41730,1470,22590,
Western,Masindi,Kimengo,499,6177,1776,10628,432,5308,
Western,Masindi,Miirya,745,10077,2946,15795,675,8684,
Western,Masindi,Pakanyi,2218,30685,8334,45508,2424,26016,
Western,Masindi,Masindi Total,10909,139884,36043,225560,9090,121553,
Western,Mbarara,Kakoba Division,1497,18487,2219,45303,420,16343,
Western,Mbarara,Kamukuzi Division,1136,11480,1460,29248,241,10571,
Western,Mbarara,Nyamitanga Division,734,8904,1193,19508,174,7934,
Western,Mbarara,Biharwe Division,937,10212,1575,18769,300,9458,
Western,Mbarara,Kakiika Division,843,9141,2057,17225,512,8046,
Western,Mbarara,Nyakayojo Division,1698,17078,3805,31313,616,15893,
Western,Mbarara,Bubaare,1150,10050,2009,19055,457,9513,
Western,Mbarara,Bukiro,674,7207,886,12785,150,6893,
Western,Mbarara,Kagongi,921,10054,2293,17123,345,9478,
Western,Mbarara,Kashare,1090,11160,3168,18062,649,10236,
Western,Mbarara,Rubaya,892,8586,2202,15027,463,8016,
Western,Mbarara,Rubindi,1000,11651,2431,19928,418,10738,
Western,Mbarara,Rwanyamahembe,1288,12203,2174,22950,436,11596,
Western,Mbarara,Bugamba,1471,17446,3463,29044,649,16132,
Western,Mbarara,Mwizi,1584,18381,3417,28593,666,16738,
Western,Mbarara,Ndeija,1518,14654,2779,26476,475,13856,
Western,Mbarara,Rugando,1322,12027,2358,22711,369,11556,
Western,Mbarara,Mbarara Total,19755,208721,39489,393120,7340,192997,
Western,Mitooma,Bitereko,1469,14173,4110,21896,1003,12840,
Western,Mitooma,Kabira,597,5501,1233,9115,221,5223,
Western,Mitooma,Kanyabwanga,956,9454,2888,14127,637,8440,
Western,Mitooma,Kashenshero,677,5973,2014,9257,413,5417,
Western,Mitooma,Kashenshero Town Council,293,2569,950,4339,173,2319,
Western,Mitooma,Katenga,825,8428,2081,14488,339,7994,
Western,Mitooma,Kiyanga,973,10413,2613,15828,619,9140,
Western,Mitooma,Mayanga,574,5798,1353,9133,312,5320,
Western,Mitooma,Mitooma,876,9244,2689,14748,484,8616,
Western,Mitooma,Mitooma Town Council,313,2406,609,4652,104,2304,
Western,Mitooma,Mutara,1140,11551,3470,18182,732,10566,
Western,Mitooma,Rurehe,662,6249,1396,9921,203,5920,
Western,Mitooma,Mitooma Total,9355,91759,25406,145686,5240,84099,
Western,Ntoroko,Butungama,456,5097,901,8016,146,4754,
Western,Ntoroko,Bweramule,237,3314,660,5184,108,3025,
Western,Ntoroko,Kanara,336,3729,1383,6046,259,3273,
Western,Ntoroko,Kanara Town Council,416,3348,1052,6204,270,2925,
Western,Ntoroko,Karugutu,169,3440,672,5078,161,2946,
Western,Ntoroko,Karugutu Town Council,443,5201,1071,8511,213,4643,
Western,Ntoroko,Kibuuku Town Council,114,1007,250,1777,43,940,
Western,Ntoroko,Nombe,334,4660,575,6919,107,4165,
Western,Ntoroko,Rwebisengo,238,2216,390,3882,29,2161,
Western,Ntoroko,Rwebisengo Town Council,152,1363,247,2672,28,1297,
Western,Ntoroko,Ntoroko Total,2895,33375,7201,54289,1364,30129,
Western,Ntungamo,Central Division,279,2885,529,5844,113,2657,
Western,Ntungamo,Eastern Division,236,2307,469,4808,75,2147,
Western,Ntungamo,Western Division,163,1889,338,3923,50,1667,
Western,Ntungamo,Bwongyera,1830,17880,3573,28794,566,17039,
Western,Ntungamo,Ihunga,1444,12765,2014,22386,361,12158,
Western,Ntungamo,Kibatsi,981,9762,1772,16388,293,9240,
Western,Ntungamo,Nyabihoko,1174,11145,2647,17970,475,10494,
Western,Ntungamo,Rwashamaire Town Council,369,3093,493,6013,85,2960,
Western,Ntungamo,Itojo,1061,10509,2169,18743,365,9879,
Western,Ntungamo,Kitwe Town Council,862,8977,1370,15103,380,8025,
Western,Ntungamo,Ntungamo,1524,15229,2623,26208,461,14259,
Western,Ntungamo,Nyakyera,1936,20181,4164,31541,1111,18292,
Western,Ntungamo,Ruhaama,2221,21993,5549,34001,1144,19929,
Western,Ntungamo,Rukoni East,1076,12242,2251,19698,506,11159,
Western,Ntungamo,Rukoni West,856,8659,1476,14149,234,8048,
Western,Ntungamo,Rweikiniro,1613,19217,2773,31076,533,17661,
Western,Ntungamo,Kayonza,1366,12918,3917,21761,749,11768,
Western,Ntungamo,Ngoma,1143,13389,2165,23249,356,12317,
Western,Ntungamo,Rubaare,1151,12283,2631,20694,576,11201,
Western,Ntungamo,Rubaare Town Council,525,5782,1429,10806,333,5180,
Western,Ntungamo,Rugarama,1395,15728,3424,25653,744,14306,
Western,Ntungamo,Ntungamo Total,23205,238833,47776,398808,9510,220386,
Western,Rubirizi,Katanda,951,10288,3434,13988,848,9011,
Western,Rubirizi,Katerera,521,5412,1520,8198,305,4871,
Western,Rubirizi,Katerera Town Council,472,4277,758,7540,147,3992,
Western,Rubirizi,Katunguru,156,1406,494,3043,43,1251,
Western,Rubirizi,Kichwamba,820,8324,1807,13751,275,7906,
