Region,District,Sub-county,Male,Female,Total,Sex Ratio*,Land Area (Sq. Km),Population Density**
Western,Bushenyi,Bumbaire,6802,7419,14221,91.7,47.4,300
Western,Bushenyi,Ibaare,5439,6145,11584,88.5,30.3,382.3
Western,Bushenyi,Kakanju,11092,11752,22844,94.4,56.8,402.2
Western,Bushenyi,Kyabugimbi,9245,10030,19275,92.2,56.6,340.5
Western,Bushenyi,Kyamuhunga,17687,18142,35829,97.5,290.3,123.4
Western,Bushenyi,Kyeizooba,12944,13696,26640,94.5,86,309.8
Western,Bushenyi,Nyabubare,17378,18533,35911,93.8,91.4,392.9
Western,Bushenyi,Ruhumuro,6650,6861,13511,96.9,51.8,260.8
Western,Bushenyi,Bushenyi Total,114207,120236,234443,95,845.3,277.3
Western,Hoima,Bugambe,15320,14725,30045,104,213.6,289
