district,id,pop,dist_to_cl
GULU,"173610","5",32354.508976992663520
AGAGO,"70512","7",128279.613893684829236
AMURU,"110722","44",14604.409857068885685
GULU,"84947","3",28087.357832122757827
AMURU,"50925","11",59388.184354166398407
GULU,"118973","6",24975.939499244770559
LAMWO,"6601","5",114337.238510400697123
GULU,"146818","6",36395.914318886592810
GULU,"120013","21",2628.877976452644816
GULU,"75682","3",36521.559612707424094
LAMWO,"6608","5",113240.589053210394923
PADER,"155078","10",73172.906147635556408
KITGUM,"22080","4",107049.459615179235698
LAMWO,"8677","8",103298.934968749192194
PADER,"84971","15",81059.436190969659947
AGAGO,"76724","7",125822.534460318638594
KITGUM,"45794","4",129705.263685116558918
PADER,"91159","15",88947.768264277663548
NWOYA,"146838","3",94889.822400796940201
KITGUM,"41679","8",87461.974537085989141
PADER,"141687","17",71361.179560168646276
GULU,"174681","22",31465.751589241812326
PADER,"78800","20",46834.097878530534217
PADER,"149941","17",64864.388256877908134
AGAGO,"75710","7",131992.795143131341320
PADER,"137571","17",62748.213809370528907
AGAGO,"104580","8",112775.692519706572057
AGAGO,"73653","7",131756.099988712638151
LAMWO,"15918","8",98644.577743358691805
GULU,"128298","23",1268.053120190270874
AGAGO,"65411","7",136087.015095308452146
LAMWO,"14892","13",96087.814202437220956
LAMWO,"14894","8",96970.968345210712869
KITGUM,"40670","5",101229.817482326499885
AGAGO,"61292","7",128481.772925585770281
GULU,"113877","6",26610.765280508421711
NWOYA,"164396","3",43659.400228689592041
AMURU,"116975","10",38419.066621949838009
NWOYA,"170588","3",46927.243781540659256
PADER,"109760","13",87366.722480162425200
KITGUM,"23157","4",137746.320472491352120
PADER,"74707","6",77614.105305849268916
LAMWO,"61310","3",65147.991302719303349
KITGUM,"25226","4",105025.270904047007207
NWOYA,"177815","3",41106.933329625433544
LAMWO,"1515","10",122828.267755531211151
LAMWO,"26265","3",76348.392340102713206
AGAGO,"158236","26",120883.909594511394971
KITGUM,"43796","8",87995.123180428068736
PADER,"95346","9",70593.263201976587879
NWOYA,"178857","3",44044.333407329235342
AMURU,"119061","10",37576.744746583994129
AGAGO,"72669","7",132114.790123600017978
PADER,"70607","6",79190.891001743613742
NWOYA,"156180","3",36551.674479605935630
GULU,"112881","15",7591.303698354470725
AMURU,"61332","11",55101.585952093795640
AGAGO,"64426","7",136813.896784914977616
PADER,"77833","31",55394.589476287670550
AMURU,"120105","44",11438.575810371341504
AMURU,"59277","11",57002.527545890123292
KITGUM,"47937","8",87830.601843457232462
GULU,"120108","21",2192.995597552414893
PADER,"76806","6",70098.303990108441212
AMURU,"105675","10",48765.606327458830492
AGAGO,"55158","7",133068.302558797091478
KITGUM,"19078","4",135337.682112016569590
PADER,"108775","9",73130.464650621899636
LAMWO,"34544","3",70621.123369796929182
AMURU,"77848","42",40225.402701693063136
AMURU,"98468","44",29010.240010234290821
KITGUM,"19082","7",155022.850236492464319
NWOYA,"157239","1",69967.021767509097117
GULU,"144868","6",40663.317600937232783
NWOYA,"137653","3",20057.008759694388573
AMURU,"100538","10",40612.305341408056847
AGAGO,"148996","27",101539.054497559904121
AGAGO,"99513","8",116071.768573884968646
AMURU,"88172","42",30257.812786652855721
AMURU,"61366","11",55020.762037178901664
LAMWO,"10848","13",97402.310076975190896
PADER,"105700","13",87966.759173291400657
LAMWO,"2601","10",133661.562945700716227
NWOYA,"177873","3",41959.364556366192119
LAMWO,"28381","3",79645.032628515342367
NWOYA,"160350","3",29557.722155926079722
KITGUM,"49003","10",111594.523393943483825
NWOYA,"154165","3",44557.021851546094695
NWOYA,"155198","3",36780.992048401880311
AGAGO,"150044","26",115127.045564246218419
AMURU,"41791","11",63837.727365052051027
PADER,"73754","6",86377.977207099771476
AMURU,"90252","42",29343.788520430887729
KITGUM,"30454","7",147073.633617745246738
GULU,"75818","3",36472.837445956633019
KITGUM,"7777","7",157311.182513217267115
KITGUM,"10872","7",146294.047870099224383
GULU,"90259","3",26618.636112843265437
AGAGO,"122221","13",126060.062656686437549
GULU,"162430","6",52370.285090389224933
KITGUM,"36649","5",94277.328013690814259
GULU,"115005","6",6465.727725924428341
AMURU,"109853","44",14392.711048146418761
PADER,"90265","9",68295.923694022494601
NWOYA,"178931","1",94848.910868416685844
KITGUM,"24282","4",129994.243366526847240
KITGUM,"7787","7",157242.696244432416279
LAMWO,"26346","3",79770.654155582844396
AGAGO,"131510","26",111892.316060428158380
NWOYA,"161411","3",39655.702099549082050
NWOYA,"179974","1",99359.216407248837641
KITGUM,"42852","5",92033.934454566144268
NWOYA,"169667","1",50616.135779387026560
GULU,"136676","11",4353.372568967783081
AMURU,"62444","11",50459.137585541357112
PADER,"92343","9",70896.413613727621851
AGAGO,"51107","7",137345.628429635427892
GULU,"113998","15",5478.334270240877231
KITGUM,"49046","8",86590.240606358682271
LAMWO,"20180","8",96603.335125167650403
LAMWO,"19149","7",79379.515974091002136
AGAGO,"56266","7",135464.579777300299611
PADER,"105754","13",88206.923695580670028
AMURU,"117096","10",40253.116384594577539
LAMWO,"594","10",139426.335061928635696
GULU,"103695","6",21363.533736671164661
KITGUM,"58333","5",100564.587512343656272
LAMWO,"19159","13",86426.550266013960936
LAMWO,"16066","13",90839.877372794333496
PADER,"94426","9",73446.617735348132555
PADER,"136700","17",67958.126855165930465
LAMWO,"611","10",138344.864952649717452
KITGUM,"64533","34",100305.217064533906523
AGAGO,"112990","8",115837.916980590292951
AGAGO,"89279","6",128075.356263287292677
GULU,"156294","6",59281.790871054945455
GULU,"149078","6",42084.843053889300791
PADER,"95466","15",74025.821941200876608
LAMWO,"19173","8",95445.343653682022705
NWOYA,"176917","3",38096.119447124263388
GULU,"154237","4",29687.062126724882546
NWOYA,"157330","3",43146.218895727586641
LAMWO,"28457","3",77506.207113187658251
PADER,"125371","12",71120.829033377798623
PADER,"74853","6",72568.991469480533851
NWOYA,"176922","3",40432.963777595956344
LAMWO,"29490","3",73532.694479017212871
AGAGO,"115063","6",130491.516196309283259
GULU,"99599","6",29426.932865528018738
AGAGO,"107854","8",114618.260622552304994
GULU,"172808","5",30851.168132977236382
PADER,"99607","12",82543.275483840945526
KITGUM,"60430","34",104882.524527423040126
AMURU,"58369","11",54857.700922874988464
AGAGO,"142912","26",115531.786456788569922
AGAGO,"141883","27",93640.750721722070011
AMURU,"35690","11",65723.428900602797512
AMURU,"62496","11",53573.567447273177095
